"hw";"num_threads";"dataset_size";"init_time";"eval_time";"total_time"
"cpu";1;10000;0.00142521;17.2424;17.2438
"cpu";6;10000;0.00136054;9.3036;9.30496
"gpu";"BLOCK=32";10000;0.466343;2.66832;3.13466
"gpu";"BLOCK=64";10000;0.0315401;2.57686;2.6084
"gpu";"BLOCK=128";10000;0.0324378;2.58921;2.62165
"gpu";"BLOCK=256";10000;0.0315108;2.63192;2.66343
"gpu";"BLOCK=512";10000;0.0318326;2.74379;2.77562
"gpu";"BLOCK=1024";10000;0.0313541;2.70757;2.73892
"cpu";1;50000;0.00687384;91.3596;91.3665
"cpu";6;50000;0.00617729;53.7275;53.7337
"gpu";"BLOCK=32";50000;0.180186;8.16367;8.34385
"gpu";"BLOCK=64";50000;0.168434;8.2048;8.37323
"gpu";"BLOCK=128";50000;0.170953;8.21409;8.38504
"gpu";"BLOCK=256";50000;0.173145;8.27832;8.45146
"gpu";"BLOCK=512";50000;0.170262;8.39094;8.56121
"gpu";"BLOCK=1024";50000;0.169648;8.48763;8.65727
"cpu";1;150000;0.0212789;281.502;281.523
"cpu";6;150000;0.0207697;176.185;176.206
"gpu";"BLOCK=32";150000;0.537296;24.079;24.6163
"gpu";"BLOCK=64";150000;0.518017;24.3771;24.8951
"gpu";"BLOCK=128";150000;0.518798;24.3716;24.8904
"gpu";"BLOCK=256";150000;0.518902;24.3833;24.9022
"gpu";"BLOCK=512";150000;0.518617;24.3486;24.8673
"gpu";"BLOCK=1024";150000;0.5189;24.4332;24.9521
"cpu";1;450000;0.0627718;878.093;878.155
"cpu";6;450000;0.0613318;513.769;513.831
"gpu";"BLOCK=32";450000;1.5482;67.9754;69.5236
"gpu";"BLOCK=64";450000;1.54531;68.9868;70.5321
"gpu";"BLOCK=128";450000;1.54443;69.0019;70.5463
"gpu";"BLOCK=256";450000;1.54407;68.9205;70.4646
"gpu";"BLOCK=512";450000;1.59162;68.5164;70.108
"gpu";"BLOCK=1024";450000;1.54648;68.5461;70.0925
"cpu";1;1000000;0.139558;2005.77;2005.9
"cpu";2;1000000;0.13636;1501.74;1501.88
"cpu";3;1000000;0.136542;1333.32;1333.46
"cpu";4;1000000;0.147614;1251.4;1251.55
"cpu";5;1000000;0.136341;1185.92;1186.06
"cpu";6;1000000;0.136566;1168;1168.14
"gpu";"BLOCK=32";1000000;3.42891;148.56;151.989
"gpu";"BLOCK=64";1000000;3.44352;151.079;154.522
"gpu";"BLOCK=128";1000000;3.44447;150.802;154.247
"gpu";"BLOCK=256";1000000;3.46389;150.243;153.707
"gpu";"BLOCK=512";1000000;3.43714;149.729;153.166
"gpu";"BLOCK=1024";1000000;3.43986;149.762;153.202
